"","addr","code","lat","lng","name","type","created_at","remain_stat","stock_at","remain_stat_kr","구분","시도","시군구","동"
"1","대구광역시 달서구 달구벌대로 1736 1층 (두류동)","37844571",35.856678,128.5552778,"밝은온누리약국","01","2020/03/14 23:55:00","plenty","2020/03/14 10:55:00","100개 이상","약국","대구광역시","달서구","두류동"
"2","충청남도 보령시 남대천로 58 (대천동)","34833323",36.3487417,126.5935343,"지애약국","01","2020/03/14 23:55:00","break","2020/03/14 10:33:00","2개 이상 30개 미만","약국","충청남도","보령시","대천동"
"3","충청남도 태안군 태안읍 중앙로 33 (한국통신)","34831185",36.755742,126.293988,"이화약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:34:00","1개 이하","약국","충청남도","태안군","태안읍"
"4","전라북도 임실군 관촌면 사선로 40","35812346",35.6741074,127.2706129,"관촌약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:34:00","1개 이하","약국","전라북도","임실군","관촌면"
"5","대구광역시 수성구 지범로 188 (범물동)","37834797",35.8208067,128.6395092,"뉴월드약국","01","2020/03/14 23:55:00","break","2020/03/14 10:46:00","2개 이상 30개 미만","약국","대구광역시","수성구","범물동"
"6","경기도 안양시 만안구 명학로 34 1층 (안양동)","41823711",37.3796731,126.9367128,"중앙약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:54:00","1개 이하","약국","경기도","안양시 만안구","안양동"
"7","서울특별시 양천구 신월로 341 4층 (신정동)","12862916",37.5220063,126.8588763,"미그린약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:55:00","1개 이하","약국","서울특별시","양천구","신정동"
"8","대구광역시 남구 중앙대로29길 27 (대명동)","37811461",35.8460022,128.5888139,"대학당약국","01","2020/03/14 23:55:00","plenty","2020/03/14 10:13:00","100개 이상","약국","대구광역시","남구","대명동"
"9","경기도 광명시 시청로 30 1층 (철산동)","31896359",37.4794236,126.8641142,"이화약국","01","2020/03/14 23:55:00","break","2020/03/14 11:38:00","2개 이상 30개 미만","약국","경기도","광명시","철산동"
"10","충청남도 보령시 주공로 12 (동대동)","34823174",36.3450653,126.6022154,"대영약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:47:00","1개 이하","약국","충청남도","보령시","동대동"
